X,Y,objectid,powerplant,unit,country,latitude,longitude,grosspower,netpowerin,type,reactorsup,reactormod,status,dateconstr,dateofcomm,dateofclos,operationa,owner,operators,imagesourc,link
119.459722219674,34.6869444399112,595,Tianwan,Tianwan-7,China,34.686944,119.459722,1200,1150,Pressurized Water Reactor,Atomstroyexport,VVER-1200,Planned, , , , ,Jiangsu Nuclear Power, ,https://upload.wikimedia.org/wikipedia/commons/6/6c/The_second_phase_construction_of_Tianwan_Nuclear_Power_Plant.JPG,https://en.wikipedia.org/wiki/Tianwan_Nuclear_Power_Plant
120.545833329583,40.3513888900746,596,Xudabao,Xudabao 2,China,40.351389,120.545833,1250,1100,Pressurized Water Reactor, ,CAP-1000,Planned, , , , ,China National Nuclear Corporation,Liaoning Nuclear Power Company Ltd., ,https://en.wikipedia.org/wiki/Xudabao_Nuclear_Power_Plant
119.459722219674,34.6869444399112,597,Tianwan,Tianwan-1,China,34.686944,119.459722,1060,990,Pressurized Water Reactor,Atomstroyexport,AES-91,Operational,"Thursday, October 20, 1999","Friday, May 17, 2007", , ,Jiangsu Nuclear Power, ,https://upload.wikimedia.org/wikipedia/commons/6/6c/The_second_phase_construction_of_Tianwan_Nuclear_Power_Plant.JPG,https://en.wikipedia.org/wiki/Tianwan_Nuclear_Power_Plant
121.480555559792,39.7958333300496,598,Hongyanhe ,Hongyanhe 5,China,39.795833,121.480556,1150,1080,Pressurized Water Reactor, ,ACPR-1000,Under construction,"Monday, March 29, 2015","Saturday, November 01, 2019", , ,Liaoning Hongyanhe Nuclear Power Co. Ltd., , ,https://en.wikipedia.org/wiki/Hongyanhe_Nuclear_Power_Plant
121.641944440319,29.101111109942,599,Sanmen,Sanmen 6,China,29.101111,121.641944,1250,1100,Pressurized Water Reactor,Westinghouse ,CAP-1000,Planned, , , , , , , , 
122.528888889996,36.972222220135,600,Shidao Bay,Shidaowan-II-2,China,36.972222,122.528889,1550,1500,Pressurized Water Reactor, ,CAP-1400,Under construction,"July, 2019", , , , , , , 
114.670000000317,29.6599999999321,601,Xianning,Xianning 3,China,29.66,114.67,1250,1100,Pressurized Water Reactor, ,CAP1000,Planned, , , , ,Hubei Nuclear Power Co, , ,https://en.wikipedia.org/wiki/Xianning_Nuclear_Power_Plant
120.949999999583,30.4330555601406,602,Qinshan,Qinshan II-1,China,30.433056,120.95,650,610,Pressurized Water Reactor,China National Nuclear Corporation ,CNP-600,Operational,"Monday, June 02, 1996","Tuesday, April 15, 2002", , ,"Qinshan Nuclear Power, Nuclear Power Plant Qinshan Joint Venture Company, The Third Qinshan Joint Venture Company","CNNC Nuclear Operation Management, Nuclear Power Plant Qinshan Joint Venture Company, The Third Qinshan Joint Venture Company", ,https://en.wikipedia.org/wiki/Qinshan_Nuclear_Power_Plant
120.545833329583,40.3513888900746,603,Xudabao,Xudabao 5,China,40.351389,120.545833,1250,1100,Pressurized Water Reactor, ,CAP-1000,Planned, , , , ,China National Nuclear Corporation,Liaoning Nuclear Power Company Ltd., ,https://en.wikipedia.org/wiki/Xudabao_Nuclear_Power_Plant
120.949999999583,30.4330555601406,604,Qinshan,Qinshan II-2,China,30.433056,120.95,650,610,Pressurized Water Reactor,China National Nuclear Corporation ,CNP-600,Operational,"Wednesday, April 01, 1997","Tuesday, May 03, 2004", , ,"Qinshan Nuclear Power, Nuclear Power Plant Qinshan Joint Venture Company, The Third Qinshan Joint Venture Company","CNNC Nuclear Operation Management, Nuclear Power Plant Qinshan Joint Venture Company, The Third Qinshan Joint Venture Company", ,https://en.wikipedia.org/wiki/Qinshan_Nuclear_Power_Plant
122.528888889996,36.972222220135,605,Shidao Bay,Shidaowan-II-4,China,36.972222,122.528889,1250,1100,Pressurized Water Reactor, ,CAP-1000,Planned, , , , , , , , 
